epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,398,,,,14648.9453125
,399,,,,13478.59765625
99,1199,,,13621.62109375,
99,1199,14076.8818359375,,,
,400,,,,11989.541015625
,401,,,,14280.00390625
,402,,,,14648.9404296875
,403,,,,13478.59375
100,1211,,,13621.6171875,
100,1211,14076.87890625,,,
,404,,,,11989.5390625
,405,,,,14280.0029296875
,406,,,,14648.939453125
,407,,,,13478.591796875
101,1223,,,13621.6171875,
101,1223,14076.8740234375,,,
,408,,,,11989.53125
,409,,,,14279.99609375
,410,,,,14648.93359375
,411,,,,13478.583984375
102,1235,,,13621.6083984375,
102,1235,14076.8681640625,,,
,412,,,,11989.5263671875
,413,,,,14279.990234375
,414,,,,14648.9267578125
,415,,,,13478.5791015625
103,1247,,,13621.6025390625,
103,1247,14076.8642578125,,,
104,1249,,18340.994140625,,
,416,,,,11989.521484375
,417,,,,14279.984375
,418,,,,14648.921875
,419,,,,13478.5732421875
104,1259,,,13621.5986328125,
104,1259,14076.859375,,,
,420,,,,11989.5205078125
,421,,,,14279.984375
,422,,,,14648.921875
,423,,,,13478.572265625
105,1271,,,13621.59765625,
105,1271,14076.857421875,,,
,424,,,,11989.5166015625
,425,,,,14279.978515625
,426,,,,14648.916015625
,427,,,,13478.5673828125
106,1283,,,13621.5927734375,
106,1283,14076.8515625,,,
,428,,,,11989.51171875
,429,,,,14279.974609375
,430,,,,14648.91015625
,431,,,,13478.560546875
107,1295,,,13621.587890625,
107,1295,14076.8486328125,,,
108,1299,,16880.95703125,,
,432,,,,11989.5107421875
,433,,,,14279.970703125
,434,,,,14648.90625
,435,,,,13478.5595703125
108,1307,,,13621.5849609375,
108,1307,14076.8447265625,,,
,436,,,,11989.505859375
,437,,,,14279.966796875
,438,,,,14648.90234375
,439,,,,13478.5537109375
109,1319,,,13621.580078125,
109,1319,14076.83984375,,,
,440,,,,11989.5029296875
,441,,,,14279.962890625
,442,,,,14648.8984375
,443,,,,13478.55078125
110,1331,,,13621.576171875,
110,1331,14076.833984375,,,
,444,,,,11989.49609375
,445,,,,14279.95703125
,446,,,,14648.892578125
,447,,,,13478.5439453125
111,1343,,,13621.5693359375,
111,1343,14076.83203125,,,
112,1349,,16080.515625,,
,448,,,,11989.49609375
,449,,,,14279.95703125
,450,,,,14648.892578125
,451,,,,13478.5439453125
112,1355,,,13621.5693359375,
112,1355,14076.8271484375,,,
,452,,,,11989.4931640625
,453,,,,14279.9521484375
,454,,,,14648.888671875
,455,,,,13478.541015625
113,1367,,,13621.5673828125,
113,1367,14076.8232421875,,,
,456,,,,11989.4853515625
,457,,,,14279.9453125
,458,,,,14648.880859375
,459,,,,13478.533203125
114,1379,,,13621.55859375,
114,1379,14076.818359375,,,
,460,,,,11989.482421875
,461,,,,14279.94140625
,462,,,,14648.876953125
,463,,,,13478.52734375
115,1391,,,13621.5556640625,
115,1391,14076.8134765625,,,
116,1399,,13434.4921875,,
,464,,,,11989.474609375
,465,,,,14279.93359375
,466,,,,14648.8701171875
,467,,,,13478.5205078125
116,1403,,,13621.5478515625,
116,1403,14076.810546875,,,
,468,,,,11989.4736328125
,469,,,,14279.931640625
,470,,,,14648.8671875
,471,,,,13478.517578125
117,1415,,,13621.5458984375,
117,1415,14076.806640625,,,
,472,,,,11989.4697265625
,473,,,,14279.927734375
,474,,,,14648.86328125
,475,,,,13478.5126953125
118,1427,,,13621.5419921875,
118,1427,14076.802734375,,,
,476,,,,11989.466796875
,477,,,,14279.923828125
,478,,,,14648.859375
,479,,,,13478.5087890625
119,1439,,,13621.5380859375,
119,1439,14076.794921875,,,
120,1449,,14656.033203125,,
,480,,,,11989.4599609375
,481,,,,14279.91796875
,482,,,,14648.853515625
,483,,,,13478.5029296875
120,1451,,,13621.5322265625,
120,1451,14076.79296875,,,
,484,,,,11989.458984375
,485,,,,14279.91796875
,486,,,,14648.8525390625
,487,,,,13478.501953125
121,1463,,,13621.53125,
121,1463,14076.787109375,,,
,488,,,,11989.4560546875
,489,,,,14279.912109375
,490,,,,14648.84765625
,491,,,,13478.498046875
122,1475,,,13621.5263671875,
122,1475,14076.7841796875,,,
,492,,,,11989.4501953125
,493,,,,14279.904296875
,494,,,,14648.83984375
,495,,,,13478.490234375
123,1487,,,13621.51953125,
123,1487,14076.779296875,,,
124,1499,,13074.3720703125,,
,496,,,,11989.44921875
,497,,,,14279.90234375
,498,,,,14648.837890625
,499,,,,13478.490234375
124,1499,,,13621.517578125,
124,1499,14076.775390625,,,
,500,,,,11989.443359375
,501,,,,14279.896484375
,502,,,,14648.83203125
,503,,,,13478.484375
125,1511,,,13621.51171875,
125,1511,14076.771484375,,,
,504,,,,11989.443359375
,505,,,,14279.896484375
,506,,,,14648.8310546875
,507,,,,13478.482421875
126,1523,,,13621.51171875,
126,1523,14076.765625,,,
,508,,,,11989.4345703125
,509,,,,14279.890625
,510,,,,14648.826171875
,511,,,,13478.474609375
127,1535,,,13621.5048828125,
127,1535,14076.7587890625,,,
,512,,,,11989.4296875
,513,,,,14279.8837890625
,514,,,,14648.818359375
,515,,,,13478.4677734375
128,1547,,,13621.4990234375,
128,1547,14076.7548828125,,,
129,1549,,13980.3984375,,
,516,,,,11989.427734375
,517,,,,14279.8818359375
,518,,,,14648.8173828125
,519,,,,13478.4658203125
129,1559,,,13621.49609375,
129,1559,14076.7529296875,,,
,520,,,,11989.4228515625
,521,,,,14279.8759765625
,522,,,,14648.8125
,523,,,,13478.4599609375
130,1571,,,13621.4912109375,
130,1571,14076.7470703125,,,
,524,,,,11989.416015625
,525,,,,14279.87109375
,526,,,,14648.8046875
,527,,,,13478.453125
131,1583,,,13621.486328125,
131,1583,14076.7431640625,,,
,528,,,,11989.412109375
,529,,,,14279.865234375
,530,,,,14648.80078125
,531,,,,13478.4501953125
132,1595,,,13621.48046875,
132,1595,14076.7392578125,,,
133,1599,,12795.41796875,,
,532,,,,11989.41015625
,533,,,,14279.8623046875
,534,,,,14648.798828125
,535,,,,13478.4462890625
133,1607,,,13621.4775390625,
133,1607,14076.734375,,,
,536,,,,11989.404296875
,537,,,,14279.8564453125
,538,,,,14648.79296875
